Cantidad;Periodo_Cartera;Segmento;Tipo_Cotizante;Grupo_Producto;SEXO;Tipo_Trabajador
31;202106;Alto Valor;Pensionado;VIDA;Masculino;Dependiente
3;202110;Alto Valor;Pensionado;VIDA;Masculino;NULL
7;202208;Alto Valor;Afiliado no Pensionado;CB;Masculino;Dependiente
222;202104;Alto Valor;No Cotizante;AFP_VOL + VIDA;Masculino;NULL
93;202208;Prime;Pensionado;AFP_VOL + CB;Masculino;Dependiente
1;202110;Rentas Masivas;Pensionado;APO + CB + PENS;Femenino;Independiente
912;202103;Rentas Medias;Afiliado no Pensionado;AFP_VOL;Masculino;Dependiente
2;202105;Prime;Pensionado;APO + AFP_VOL + PENS;Femenino;Independiente
12;202105;Prime;Pensionado;CB + VIDA;Masculino;Dependiente
78;202102;Prime;No Cotizante;AFP_VOL + CB;Femenino;NULL
453;202111;Alto Valor;Pensionado;AFP_VOL;Femenino;Dependiente
4;202111;Rentas Medias;Pensionado;AFP_VOL + CB + VIDA;Femenino;Dependiente
30;202107;Rentas Medias;Afiliado no Pensionado;AFP_VOL;Masculino;NULL
8;202109;Prime;Pensionado;AFP_VOL + CB + VIDA;Femenino;Dependiente
10;202104;Prime;Pensionado;AFP_VOL;Femenino;NULL
1;202207;Rentas Masivas;Pensionado;APO + CB + PENS;Masculino;Dependiente
33;202205;Alto Patrimonio;Pensionado;CB;Femenino;Dependiente
2;202101;Alto Valor;Pensionado;APO + AFP_VOL + VIDA + PENS;Femenino;Independiente
26;202206;Prime;Pensionado;CB;Femenino;Independiente
317;202107;Prime;Afiliado no Pensionado;APO + AFP_VOL + VIDA;Masculino;Dependiente
553;202112;Alto Patrimonio;No Cotizante;CB;Femenino;NULL
30;202205;Prime;No Cotizante;AFP_VOL + VIDA;Femenino;NULL
3;202202;Rentas Medias;Pensionado;APO + AFP_VOL + VIDA + PENS;Femenino;Dependiente
219;202109;Alto Valor;Pensionado;APO + AFP_VOL;Masculino;Dependiente
10;202106;Rentas Medias;Pensionado;AFP_VOL + CB + PENS;Femenino;Independiente
152;202203;Rentas Masivas;Afiliado no Pensionado;APO + CB;Masculino;Dependiente
11;202104;Alto Patrimonio;Pensionado;APO + AFP_VOL + PENS;Femenino;Dependiente
405;202108;Alto Patrimonio;Afiliado no Pensionado;APO + AFP_VOL;Masculino;Dependiente
66;202108;Rentas Masivas;Pensionado;APO;Femenino;Independiente
30;202103;Alto Patrimonio;Afiliado no Pensionado;APO + AFP_VOL + CB;Femenino;Independiente
65310;202207;Rentas Medias;Afiliado no Pensionado;APO + AFP_VOL;Femenino;Dependiente
2;202204;Rentas Masivas;Pensionado;AFP_VOL + CB;Masculino;NULL
110;202109;Rentas Masivas;Pensionado;APO + PENS;Femenino;Independiente
1;202101;Prime;Pensionado;APO + AFP_VOL + VIDA;Femenino;Independiente
93;202203;Rentas Masivas;Pensionado;CB;Femenino;Dependiente
1;202107;Alto Valor;Pensionado;APO + VIDA + PENS;Femenino;Independiente
1080;202110;Alto Valor;Afiliado no Pensionado;APO + AFP_VOL + VIDA;Masculino;Dependiente
2;202102;Rentas Masivas;Pensionado;AFP_VOL + CB;Femenino;NULL
6357;202206;Rentas Masivas;Pensionado;AFP_VOL;Femenino;Dependiente
6;202106;Alto Valor;Pensionado;APO + PENS;Femenino;Independiente
2;202206;Alto Patrimonio;Pensionado;VIDA;Femenino;Independiente
370843;202107;Rentas Masivas;Afiliado no Pensionado;APO;Masculino;Dependiente
58;202207;Alto Patrimonio;Pensionado;CB;Masculino;Dependiente
79;202102;Rentas Medias;Pensionado;VIDA;Masculino;Dependiente
14;202205;Prime;Pensionado;VIDA;Masculino;Dependiente
21;202103;Prime;Afiliado no Pensionado;APO + AFP_VOL + CB + VIDA;Femenino;Independiente
1;202203;Alto Patrimonio;Afiliado no Pensionado;AFP_VOL + CB;Masculino;Dependiente
2;202204;Alto Patrimonio;Pensionado;VIDA + PENS;Femenino;Dependiente
20;202112;Alto Patrimonio;Afiliado no Pensionado;APO + VIDA;Masculino;Dependiente
21;202104;Alto Valor;Afiliado no Pensionado;APO + AFP_VOL + CB + VIDA;Femenino;Independiente
81;202208;Rentas Medias;Pensionado;AFP_VOL;Femenino;NULL
31;202101;Prime;Pensionado;AFP_VOL;Femenino;Independiente
5;202102;Rentas Medias;Pensionado;CB + VIDA;Femenino;Dependiente
1;202201;Prime;Afiliado no Pensionado;CB + VIDA;Masculino;NULL
246;202103;Rentas Medias;No Cotizante;CB + VIDA;Masculino;NULL
1;202208;Rentas Medias;Pensionado;AFP_VOL + CB + VIDA;Masculino;Independiente
357086;202103;Rentas Masivas;Afiliado no Pensionado;APO;Femenino;Dependiente
1275;202108;Prime;No Cotizante;CB;Femenino;NULL
31;202112;Prime;Afiliado no Pensionado;APO + AFP_VOL + VIDA;Femenino;Independiente
3;202206;Rentas Masivas;Pensionado;AFP_VOL + CB;Femenino;Independiente
1;202203;Alto Patrimonio;Afiliado no Pensionado;CB + VIDA;Masculino;Dependiente
40;202103;Alto Valor;Afiliado no Pensionado;APO + CB;Femenino;Independiente
1;202111;Rentas Medias;Afiliado no Pensionado;AFP_VOL + CB + VIDA;Femenino;Independiente
1;202208;Alto Valor;Pensionado;APO + AFP_VOL + CB + VIDA + PENS;Femenino;Dependiente
24;202105;Rentas Masivas;Pensionado;CB;Femenino;Independiente
481;202105;Alto Patrimonio;No Cotizante;CB;Femenino;NULL
2;202207;Prime;Afiliado no Pensionado;AFP_VOL + VIDA;Femenino;Dependiente
9;202104;Rentas Masivas;Pensionado;CB;Masculino;NULL
410;202203;Rentas Medias;Afiliado no Pensionado;APO + AFP_VOL + CB;Masculino;Dependiente
1;202111;Alto Patrimonio;Pensionado;AFP_VOL;Masculino;NULL
94;202111;Rentas Medias;Pensionado;VIDA;Femenino;Dependiente
1;202102;Rentas Medias;Pensionado;AFP_VOL + CB + VIDA;Femenino;NULL
342;202111;Rentas Medias;Pensionado;AFP_VOL;Masculino;Independiente
1;202202;Rentas Medias;Pensionado;APO + VIDA;Masculino;Independiente
205;202108;Alto Valor;Pensionado;APO + AFP_VOL + PENS;Femenino;Dependiente
648;202112;Rentas Masivas;Pensionado;APO + AFP_VOL + PENS;Masculino;Dependiente
223;202112;Alto Valor;Pensionado;APO + AFP_VOL;Masculino;Dependiente
2;202203;Rentas Masivas;Pensionado;AFP_VOL + CB + PENS;Masculino;Independiente
20;202207;Alto Patrimonio;Pensionado;AFP_VOL + CB;Femenino;Dependiente
10;202207;Prime;Pensionado;CB + VIDA;Femenino;Dependiente
25;202205;Alto Patrimonio;Pensionado;CB + PENS;Masculino;Dependiente
38;202208;Alto Valor;Pensionado;VIDA;Masculino;Dependiente
633;202203;Alto Valor;Pensionado;AFP_VOL;Masculino;Dependiente
3292;202202;Prime;Afiliado no Pensionado;APO + AFP_VOL;Masculino;Dependiente
34;202102;Prime;Pensionado;APO + AFP_VOL + CB + PENS;Masculino;Dependiente
18;202106;Prime;Pensionado;AFP_VOL + VIDA;Masculino;Dependiente
33;202103;Alto Patrimonio;Pensionado;AFP_VOL + CB + VIDA + PENS;Femenino;Dependiente
8;202105;Alto Patrimonio;Pensionado;AFP_VOL + CB + VIDA + PENS;Femenino;Independiente
62;202107;Rentas Medias;Pensionado;AFP_VOL + CB;Femenino;Dependiente
20610;202204;Alto Valor;Afiliado no Pensionado;APO;Femenino;Dependiente
1;202201;Alto Patrimonio;Pensionado;AFP_VOL + CB;Femenino;NULL
3;202111;Rentas Masivas;Pensionado;AFP_VOL + CB + PENS;Femenino;Independiente
10;202107;Alto Patrimonio;Pensionado;CB + VIDA;Masculino;NULL
2645;202104;Prime;Afiliado no Pensionado;APO + AFP_VOL;Masculino;Dependiente
12;202204;Alto Patrimonio;Pensionado;APO + AFP_VOL + CB + VIDA + PENS;Femenino;Dependiente
15;202202;Prime;Pensionado;AFP_VOL + CB;Femenino;Independiente
12;202108;Prime;Pensionado;AFP_VOL;Femenino;NULL
3;202101;Alto Valor;Pensionado;APO + VIDA + PENS;Masculino;Dependiente
3;202104;Rentas Masivas;Pensionado;AFP_VOL + CB;Femenino;Independiente
3;202204;Alto Valor;Pensionado;AFP_VOL + VIDA;Femenino;Independiente
1;202108;Alto Valor;Pensionado;APO + AFP_VOL + VIDA + PENS;Masculino;Independiente
848;202108;Rentas Masivas;Pensionado;AFP_VOL + PENS;Masculino;Independiente
5;202111;Rentas Medias;Pensionado;APO + CB;Femenino;Dependiente
77;202107;Rentas Medias;Pensionado;VIDA;Masculino;Dependiente
1;202104;Rentas Medias;Pensionado;AFP_VOL + CB + VIDA;Femenino;NULL
15;202109;Prime;Pensionado;AFP_VOL + CB + VIDA;Masculino;Dependiente
30;202204;Prime;Pensionado;APO + AFP_VOL + CB + PENS;Masculino;Dependiente
6;202205;Rentas Medias;Afiliado no Pensionado;APO + AFP_VOL + CB + VIDA;Masculino;Independiente
3;202105;Rentas Medias;Pensionado;APO + CB;Masculino;Dependiente
1;202108;Alto Valor;Pensionado;APO + CB;Femenino;Independiente
15;202112;Alto Patrimonio;Pensionado;VIDA;Femenino;Dependiente
1280;202107;Rentas Medias;Afiliado no Pensionado;APO;Femenino;Independiente
859;202102;Alto Valor;Pensionado;AFP_VOL + PENS;Masculino;Dependiente
52;202203;Prime;Pensionado;AFP_VOL + CB + PENS;Femenino;Dependiente
16;202206;Alto Valor;Pensionado;CB + PENS;Masculino;Dependiente
88;202204;Prime;Afiliado no Pensionado;APO + CB + VIDA;Masculino;Dependiente
4;202101;Prime;Pensionado;VIDA;Femenino;Dependiente
1260;202111;Prime;Afiliado no Pensionado;APO + AFP_VOL + CB;Masculino;Dependiente
16;202208;Alto Patrimonio;Pensionado;CB + VIDA + PENS;Masculino;Dependiente
35;202101;Alto Valor;Pensionado;AFP_VOL;Femenino;Independiente
4;202104;Prime;Pensionado;AFP_VOL + CB + VIDA + PENS;Femenino;Dependiente
1;202111;Prime;Pensionado;CB + VIDA;Masculino;NULL
7;202204;Alto Valor;Pensionado;APO + PENS;Masculino;Independiente
4;202107;Rentas Medias;Pensionado;AFP_VOL + CB + VIDA;Femenino;Dependiente
3;202110;Prime;Pensionado;APO + CB;Masculino;Dependiente
1;202203;Rentas Medias;Afiliado no Pensionado;APO + PENS;Femenino;Dependiente
5;202107;Alto Patrimonio;Pensionado;APO + AFP_VOL;Masculino;Dependiente
45;202203;Rentas Medias;No Cotizante;AFP_VOL + CB + VIDA;Femenino;NULL
25398;202107;Alto Valor;Afiliado no Pensionado;APO + AFP_VOL;Femenino;Dependiente
69;202111;Alto Valor;Afiliado no Pensionado;APO + CB + VIDA;Femenino;Dependiente
78;202201;Prime;Pensionado;APO + AFP_VOL + PENS;Masculino;Dependiente
6;202207;Rentas Masivas;Afiliado no Pensionado;APO + PENS;Femenino;Dependiente
3;202203;Rentas Medias;Pensionado;APO + AFP_VOL + CB;Femenino;Dependiente
12;202104;Rentas Masivas;Pensionado;APO + AFP_VOL;Masculino;Independiente
62;202206;Rentas Medias;Afiliado no Pensionado;APO + AFP_VOL + CB;Femenino;Independiente
89;202205;Alto Valor;Afiliado no Pensionado;APO + CB + VIDA;Masculino;Dependiente
1;202105;Alto Patrimonio;Afiliado no Pensionado;CB + VIDA;Femenino;NULL
51;202205;Prime;Pensionado;AFP_VOL + PENS;Femenino;Independiente
353;202111;Alto Patrimonio;Afiliado no Pensionado;APO + AFP_VOL + CB + VIDA;Masculino;Dependiente
4;202205;Rentas Medias;Afiliado no Pensionado;CB;Masculino;Independiente
1;202208;Rentas Masivas;Pensionado;VIDA;Masculino;Dependiente
2;202106;Alto Patrimonio;Pensionado;AFP_VOL + VIDA + PENS;Femenino;Independiente
4;202101;Alto Patrimonio;Pensionado;CB + VIDA;Masculino;Independiente
2;202208;Alto Valor;Afiliado no Pensionado;VIDA;Masculino;Independiente
277;202109;Rentas Medias;Pensionado;APO + PENS;Femenino;Dependiente
23;202202;Alto Patrimonio;Pensionado;CB + PENS;Masculino;Dependiente
21;202109;Alto Valor;Pensionado;CB;Femenino;Independiente
8;202106;Alto Patrimonio;Pensionado;AFP_VOL + CB + VIDA + PENS;Femenino;Independiente
24;202207;Alto Patrimonio;Pensionado;APO + AFP_VOL + VIDA + PENS;Masculino;Dependiente
1064;202201;Alto Valor;Afiliado no Pensionado;APO + AFP_VOL + VIDA;Masculino;Dependiente
186;202108;Prime;Afiliado no Pensionado;APO + AFP_VOL + CB;Masculino;Independiente
1;202109;Rentas Medias;Pensionado;CB + VIDA;Masculino;NULL
1269;202107;Prime;No Cotizante;CB;Femenino;NULL
1;202110;Rentas Medias;Pensionado;CB + VIDA;Femenino;Independiente
2;202201;Rentas Medias;Afiliado no Pensionado;AFP_VOL + VIDA;Masculino;Independiente
11575;202206;Rentas Masivas;Pensionado;AFP_VOL;Masculino;Dependiente
17;202110;Rentas Medias;Pensionado;APO;Masculino;Independiente
47;202103;Prime;Pensionado;AFP_VOL + PENS;Femenino;Independiente
1;202201;Prime;Pensionado;APO + VIDA;Femenino;Dependiente
772;202105;Alto Valor;Afiliado no Pensionado;APO + AFP_VOL + VIDA;Femenino;Dependiente
12;202208;Rentas Medias;Pensionado;AFP_VOL + CB + PENS;Femenino;Independiente
65781;202206;Rentas Medias;Afiliado no Pensionado;APO + AFP_VOL;Femenino;Dependiente
5;202202;Rentas Medias;Pensionado;CB + PENS;Femenino;Independiente
1;202111;Rentas Medias;Pensionado;CB + VIDA + PENS;Femenino;Dependiente
7;202102;Rentas Masivas;Pensionado;AFP_VOL + CB + PENS;Femenino;Dependiente
1;202107;Rentas Medias;Afiliado no Pensionado;AFP_VOL + VIDA;Femenino;Independiente
35;202112;Rentas Medias;No Cotizante;AFP_VOL + CB + VIDA;Masculino;NULL
99;202202;Rentas Medias;Pensionado;AFP_VOL + CB;Masculino;Dependiente
11;202110;Rentas Medias;Pensionado;APO + PENS;Masculino;Independiente
11;202110;Alto Patrimonio;Pensionado;CB + PENS;Femenino;Dependiente
2;202108;Rentas Masivas;Afiliado no Pensionado;APO + VIDA;Femenino;Dependiente
1;202111;Prime;Afiliado no Pensionado;APO + AFP_VOL + CB + PENS;Masculino;Dependiente
14;202109;Rentas Masivas;Afiliado no Pensionado;APO + AFP_VOL + CB;Femenino;Independiente
17;202203;Alto Valor;Pensionado;CB;Masculino;Independiente
17;202204;Rentas Medias;Pensionado;VIDA + PENS;Femenino;Independiente
2;202112;Prime;Pensionado;CB + VIDA;Masculino;NULL
8;202205;Rentas Medias;Pensionado;APO + AFP_VOL;Femenino;Independiente
3;202201;Rentas Masivas;Pensionado;AFP_VOL + PENS;Femenino;NULL
2;202205;Alto Patrimonio;Pensionado;VIDA;Femenino;Independiente
160;202104;Prime;Pensionado;AFP_VOL;Masculino;Dependiente
410;202105;Rentas Medias;Afiliado no Pensionado;APO + CB;Femenino;Dependiente
15;202204;Prime;Pensionado;APO + AFP_VOL + CB;Masculino;Dependiente
9;202201;Rentas Medias;Pensionado;APO + PENS;Femenino;Independiente
1;202202;Alto Patrimonio;Afiliado no Pensionado;VIDA;Masculino;Independiente
3;202201;Alto Patrimonio;Pensionado;APO + AFP_VOL + VIDA + PENS;Masculino;Independiente
29;202106;Prime;No Cotizante;AFP_VOL + VIDA;Femenino;NULL
2;202103;Rentas Medias;Pensionado;APO + AFP_VOL + VIDA;Masculino;Dependiente
14658;202208;Rentas Medias;No Cotizante;AFP_VOL;Masculino;NULL
15;202203;Alto Valor;Pensionado;VIDA;Masculino;Independiente
11;202112;Prime;Pensionado;AFP_VOL + CB + VIDA;Femenino;Dependiente
57;202104;Rentas Medias;Afiliado no Pensionado;APO + AFP_VOL + CB;Femenino;Independiente
183;202103;Rentas Masivas;No Cotizante;AFP_VOL + CB;Femenino;NULL
17;202203;Rentas Medias;Afiliado no Pensionado;APO + CB + VIDA;Femenino;Dependiente
14;202107;Alto Valor;Pensionado;AFP_VOL + CB + PENS;Masculino;Independiente
1;202109;Rentas Medias;Afiliado no Pensionado;AFP_VOL + VIDA;Masculino;Dependiente
2090;202203;Prime;No Cotizante;CB;Masculino;NULL
7;202205;Alto Patrimonio;Pensionado;APO + CB + VIDA + PENS;Masculino;Dependiente
1673;202207;Rentas Medias;Pensionado;AFP_VOL;Femenino;Dependiente
571;202108;Alto Patrimonio;Afiliado no Pensionado;APO + AFP_VOL + CB;Masculino;Dependiente
243;202205;Alto Valor;Pensionado;APO + AFP_VOL + PENS;Femenino;Dependiente
21;202204;Alto Patrimonio;Afiliado no Pensionado;APO + CB + VIDA;Masculino;Independiente
477;202101;Alto Valor;Afiliado no Pensionado;APO;Femenino;Independiente
4;202201;Alto Patrimonio;Pensionado;CB;Femenino;Independiente
1;202104;Prime;Pensionado;APO + CB;Femenino;Dependiente
15;202101;Alto Valor;Pensionado;CB;Masculino;Independiente
3;202108;Prime;Pensionado;APO + AFP_VOL + VIDA + PENS;Femenino;Dependiente
4;202202;Rentas Medias;Pensionado;AFP_VOL + PENS;Femenino;NULL
4;202102;Alto Patrimonio;Pensionado;APO + CB;Masculino;Dependiente
990;202109;Rentas Masivas;Pensionado;AFP_VOL;Masculino;Independiente
10;202204;Alto Patrimonio;Pensionado;CB + VIDA;Masculino;NULL
1;202203;Prime;Pensionado;VIDA;Femenino;NULL
69;202202;Rentas Medias;Pensionado;AFP_VOL + CB;Femenino;Dependiente
17;202106;Rentas Medias;Pensionado;VIDA + PENS;Masculino;Dependiente
170;202107;Rentas Masivas;No Cotizante;AFP_VOL + CB;Femenino;NULL
2;202105;Rentas Medias;Afiliado no Pensionado;APO + AFP_VOL;Femenino;NULL
94;202205;Alto Patrimonio;Afiliado no Pensionado;APO + AFP_VOL;Femenino;Dependiente
2;202205;Rentas Medias;Pensionado;APO + AFP_VOL + VIDA + PENS;Masculino;Independiente
5;202204;Alto Patrimonio;Afiliado no Pensionado;APO + VIDA;Masculino;Independiente
2656;202105;Rentas Medias;Pensionado;AFP_VOL;Masculino;Dependiente
17;202108;Rentas Medias;Pensionado;VIDA + PENS;Femenino;Independiente
4;202203;Alto Patrimonio;Pensionado;CB + VIDA;Femenino;Independiente
1;202205;Alto Patrimonio;Pensionado;VIDA + PENS;Femenino;Independiente
2;202203;Alto Patrimonio;Afiliado no Pensionado;AFP_VOL + CB + VIDA;Masculino;Dependiente
70;202207;Alto Valor;Pensionado;AFP_VOL + CB + PENS;Masculino;Dependiente
3;202101;Alto Valor;Pensionado;APO + AFP_VOL + VIDA;Femenino;Dependiente
606;202107;Rentas Medias;Pensionado;APO;Masculino;Dependiente
85;202111;Rentas Masivas;Pensionado;APO;Masculino;Independiente
3;202207;Prime;Pensionado;APO + CB + VIDA;Femenino;Dependiente
352110;202106;Rentas Masivas;Afiliado no Pensionado;APO;Femenino;Dependiente
1;202103;Alto Patrimonio;Pensionado;APO + CB + VIDA + PENS;Masculino;Independiente
3;202208;Rentas Medias;Pensionado;CB + VIDA;Masculino;Independiente
625;202204;Alto Patrimonio;No Cotizante;CB;Femenino;NULL
3;202106;Rentas Medias;Pensionado;APO + CB;Femenino;Dependiente
416;202110;Rentas Medias;Afiliado no Pensionado;APO + AFP_VOL + CB;Masculino;Dependiente
1;202106;Alto Valor;Afiliado no Pensionado;CB + VIDA;Masculino;Dependiente
21;202106;Alto Patrimonio;Afiliado no Pensionado;APO + CB + VIDA;Masculino;Independiente
3;202104;Alto Patrimonio;Pensionado;AFP_VOL + CB + VIDA;Femenino;Independiente
